move_count_10s,arm_count_10s,gripper_count_10s,action_switch_count_10s,maximum_speed,average_speed,zone_transition_count,gripper_toggle_count,first_arm_use_for_identity,first_gripper_use_for_identity,previous_failures,hour_of_day,seconds_since_last_action
13.0,0.0,0.0,2.0,0.4276385331909005,0.6763478275583931,0.0,0.0,0.0,0.0,0.0,13.0,3.5006086726765346
4.0,0.0,0.0,1.0,0.534498202459956,0.9022904576681678,0.0,0.0,0.0,0.0,0.0,10.0,8.872872027254038
15.0,0.0,0.0,2.0,0.5706894052021951,0.5246282099437753,0.0,0.0,0.0,0.0,0.0,16.0,7.494749041548823
16.0,0.0,0.0,1.0,0.8464831993495717,0.9058118818956934,0.0,0.0,0.0,0.0,0.0,9.0,7.6862645952948006
10.0,0.0,0.0,2.0,0.4623625847437031,0.4516645575009727,0.0,0.0,0.0,0.0,0.0,11.0,1.0065538059481174
16.0,0.0,1.0,0.0,0.8490600186631803,0.611098117218451,1.0,1.0,0.0,0.0,0.0,10.0,2.884643500195416
3.0,0.0,0.0,1.0,1.0426648751780785,0.7519845227258211,1.0,0.0,0.0,0.0,0.0,12.0,10.925074509822483
32.0,0.0,0.0,2.0,0.6054011936434939,0.5535161713262178,1.0,0.0,0.0,0.0,0.0,8.0,3.2730251897040796
14.0,0.0,1.0,1.0,0.5887488204840677,0.5354857286302265,1.0,1.0,0.0,0.0,0.0,13.0,7.186908675003998
19.0,0.0,1.0,2.0,0.4431304845548902,0.39304312723413626,1.0,1.0,0.0,0.0,0.0,11.0,5.140365593216033
14.0,0.0,0.0,0.0,0.4987022996817499,0.7655754808310672,0.0,0.0,0.0,0.0,0.0,8.0,1.6612484585141192
29.0,1.0,0.0,1.0,0.8957904434417309,0.8644667012050417,1.0,0.0,0.0,0.0,0.0,14.0,0.6937223918273442
23.0,0.0,0.0,2.0,0.5442586472329691,0.5950174915471914,1.0,0.0,0.0,0.0,0.0,16.0,1.2793063381732401
22.0,0.0,0.0,0.0,0.813690535854164,0.3676244931077196,0.0,0.0,0.0,0.0,0.0,8.0,10.982518131878079
14.0,1.0,0.0,2.0,0.94432529517967,0.4453602407624895,1.0,0.0,0.0,0.0,0.0,14.0,11.43277307770107
23.0,0.0,0.0,1.0,0.7133367333159231,0.5472468509281432,0.0,0.0,0.0,0.0,0.0,8.0,3.721112094479639
22.0,0.0,0.0,2.0,1.0178795788447421,0.4946926117252858,0.0,0.0,0.0,0.0,0.0,15.0,11.906147886111713
15.0,1.0,0.0,1.0,0.9826552905940852,0.8275985623481795,1.0,0.0,0.0,0.0,0.0,13.0,0.6547347672989614
17.0,1.0,0.0,0.0,0.7186469771976401,0.6925786724610893,1.0,0.0,0.0,0.0,0.0,11.0,5.8483679781382305
31.0,0.0,0.0,2.0,0.9282738157980939,0.40105247226701085,0.0,0.0,0.0,0.0,0.0,10.0,5.887182124530672
19.0,1.0,0.0,2.0,0.9779639450681676,0.41114565682910903,1.0,0.0,0.0,0.0,0.0,16.0,10.53338436781019
16.0,0.0,0.0,2.0,0.5565578138572445,0.8410654760569607,0.0,0.0,0.0,0.0,0.0,17.0,0.2431219258983898
6.0,0.0,0.0,1.0,0.8946528354569481,0.36407219523753054,1.0,0.0,0.0,0.0,0.0,8.0,10.468426966349744
